Class Name,Class Status,Class Characteristic,Attribute/Relationship Name,Attribute/Relationship Status,Attribute/Relationship Characteristic,Old Value,New Value
MedicalDeviceIdentifier,Added,Attributes/Relationships,type,Added,Data Type,,Code
MedicalDeviceIdentifier,Added,Attributes/Relationships,type,Added,Cardinality,,1
MedicalDeviceIdentifier,Added,Attributes/Relationships,instanceType,Added,Data Type,,string
MedicalDeviceIdentifier,Added,Attributes/Relationships,instanceType,Added,Cardinality,,1
MedicalDeviceIdentifier,Added,Attributes/Relationships,extensionAttributes,Added,Data Type,,ExtensionAttribute
MedicalDeviceIdentifier,Added,Attributes/Relationships,extensionAttributes,Added,Cardinality,,0..*
MedicalDeviceIdentifier,Added,Attributes/Relationships,scopeId,Added,Data Type,,string
MedicalDeviceIdentifier,Added,Attributes/Relationships,scopeId,Added,Cardinality,,1
MedicalDeviceIdentifier,Added,Attributes/Relationships,text,Added,Data Type,,string
MedicalDeviceIdentifier,Added,Attributes/Relationships,text,Added,Cardinality,,1
MedicalDeviceIdentifier,Added,Attributes/Relationships,id,Added,Data Type,,string
MedicalDeviceIdentifier,Added,Attributes/Relationships,id,Added,Cardinality,,1
StudyAmendmentImpact,Added,Attributes/Relationships,type,Added,Data Type,,Code
StudyAmendmentImpact,Added,Attributes/Relationships,type,Added,Cardinality,,1
StudyAmendmentImpact,Added,Attributes/Relationships,instanceType,Added,Data Type,,string
StudyAmendmentImpact,Added,Attributes/Relationships,instanceType,Added,Cardinality,,1
StudyAmendmentImpact,Added,Attributes/Relationships,extensionAttributes,Added,Data Type,,ExtensionAttribute
StudyAmendmentImpact,Added,Attributes/Relationships,extensionAttributes,Added,Cardinality,,0..*
StudyAmendmentImpact,Added,Attributes/Relationships,text,Added,Data Type,,string
StudyAmendmentImpact,Added,Attributes/Relationships,text,Added,Cardinality,,1
StudyAmendmentImpact,Added,Attributes/Relationships,notes,Added,Data Type,,CommentAnnotation
StudyAmendmentImpact,Added,Attributes/Relationships,notes,Added,Cardinality,,0..*
StudyAmendmentImpact,Added,Attributes/Relationships,id,Added,Data Type,,string
StudyAmendmentImpact,Added,Attributes/Relationships,id,Added,Cardinality,,1
StudyAmendmentImpact,Added,Attributes/Relationships,isSubstantial,Added,Data Type,,boolean
StudyAmendmentImpact,Added,Attributes/Relationships,isSubstantial,Added,Cardinality,,1
Duration,Added,Attributes/Relationships,instanceType,Added,Data Type,,string
Duration,Added,Attributes/Relationships,instanceType,Added,Cardinality,,1
Duration,Added,Attributes/Relationships,extensionAttributes,Added,Data Type,,ExtensionAttribute
Duration,Added,Attributes/Relationships,extensionAttributes,Added,Cardinality,,0..*
Duration,Added,Attributes/Relationships,durationWillVary,Added,Data Type,,boolean
Duration,Added,Attributes/Relationships,durationWillVary,Added,Cardinality,,1
Duration,Added,Attributes/Relationships,reasonDurationWillVary,Added,Data Type,,string
Duration,Added,Attributes/Relationships,reasonDurationWillVary,Added,Cardinality,,0..1
Duration,Added,Attributes/Relationships,text,Added,Data Type,,string
Duration,Added,Attributes/Relationships,text,Added,Cardinality,,0..1
Duration,Added,Attributes/Relationships,id,Added,Data Type,,string
Duration,Added,Attributes/Relationships,id,Added,Cardinality,,1
Duration,Added,Attributes/Relationships,quantity,Added,Data Type,,"Quantity, Range"
Duration,Added,Attributes/Relationships,quantity,Added,Cardinality,,0..1
MedicalDevice,Added,Attributes/Relationships,instanceType,Added,Data Type,,string
MedicalDevice,Added,Attributes/Relationships,instanceType,Added,Cardinality,,1
MedicalDevice,Added,Attributes/Relationships,extensionAttributes,Added,Data Type,,ExtensionAttribute
MedicalDevice,Added,Attributes/Relationships,extensionAttributes,Added,Cardinality,,0..*
MedicalDevice,Added,Attributes/Relationships,softwareVersion,Added,Data Type,,string
MedicalDevice,Added,Attributes/Relationships,softwareVersion,Added,Cardinality,,0..1
MedicalDevice,Added,Attributes/Relationships,notes,Added,Data Type,,CommentAnnotation
MedicalDevice,Added,Attributes/Relationships,notes,Added,Cardinality,,0..*
MedicalDevice,Added,Attributes/Relationships,id,Added,Data Type,,string
MedicalDevice,Added,Attributes/Relationships,id,Added,Cardinality,,1
MedicalDevice,Added,Attributes/Relationships,name,Added,Data Type,,string
MedicalDevice,Added,Attributes/Relationships,name,Added,Cardinality,,1
MedicalDevice,Added,Attributes/Relationships,label,Added,Data Type,,string
MedicalDevice,Added,Attributes/Relationships,label,Added,Cardinality,,0..1
MedicalDevice,Added,Attributes/Relationships,description,Added,Data Type,,string
MedicalDevice,Added,Attributes/Relationships,description,Added,Cardinality,,0..1
MedicalDevice,Added,Attributes/Relationships,hardwareVersion,Added,Data Type,,string
MedicalDevice,Added,Attributes/Relationships,hardwareVersion,Added,Cardinality,,0..1
MedicalDevice,Added,Attributes/Relationships,embeddedProductId,Added,Data Type,,string
MedicalDevice,Added,Attributes/Relationships,embeddedProductId,Added,Cardinality,,0..1
MedicalDevice,Added,Attributes/Relationships,identifiers,Added,Data Type,,MedicalDeviceIdentifier
MedicalDevice,Added,Attributes/Relationships,identifiers,Added,Cardinality,,0..*
MedicalDevice,Added,Attributes/Relationships,sourcing,Added,Data Type,,Code
MedicalDevice,Added,Attributes/Relationships,sourcing,Added,Cardinality,,0..1
EligibilityCriterionItem,Added,Attributes/Relationships,instanceType,Added,Data Type,,string
EligibilityCriterionItem,Added,Attributes/Relationships,instanceType,Added,Cardinality,,1
EligibilityCriterionItem,Added,Attributes/Relationships,extensionAttributes,Added,Data Type,,ExtensionAttribute
EligibilityCriterionItem,Added,Attributes/Relationships,extensionAttributes,Added,Cardinality,,0..*
EligibilityCriterionItem,Added,Attributes/Relationships,notes,Added,Data Type,,CommentAnnotation
EligibilityCriterionItem,Added,Attributes/Relationships,notes,Added,Cardinality,,0..*
EligibilityCriterionItem,Added,Attributes/Relationships,id,Added,Data Type,,string
EligibilityCriterionItem,Added,Attributes/Relationships,id,Added,Cardinality,,1
EligibilityCriterionItem,Added,Attributes/Relationships,dictionaryId,Added,Data Type,,string
EligibilityCriterionItem,Added,Attributes/Relationships,dictionaryId,Added,Cardinality,,0..1
EligibilityCriterionItem,Added,Attributes/Relationships,name,Added,Data Type,,string
EligibilityCriterionItem,Added,Attributes/Relationships,name,Added,Cardinality,,1
EligibilityCriterionItem,Added,Attributes/Relationships,label,Added,Data Type,,string
EligibilityCriterionItem,Added,Attributes/Relationships,label,Added,Cardinality,,0..1
EligibilityCriterionItem,Added,Attributes/Relationships,description,Added,Data Type,,string
EligibilityCriterionItem,Added,Attributes/Relationships,description,Added,Cardinality,,0..1
EligibilityCriterionItem,Added,Attributes/Relationships,text,Added,Data Type,,string
EligibilityCriterionItem,Added,Attributes/Relationships,text,Added,Cardinality,,1
Abbreviation,Added,Attributes/Relationships,instanceType,Added,Data Type,,string
Abbreviation,Added,Attributes/Relationships,instanceType,Added,Cardinality,,1
Abbreviation,Added,Attributes/Relationships,extensionAttributes,Added,Data Type,,ExtensionAttribute
Abbreviation,Added,Attributes/Relationships,extensionAttributes,Added,Cardinality,,0..*
Abbreviation,Added,Attributes/Relationships,expandedText,Added,Data Type,,string
Abbreviation,Added,Attributes/Relationships,expandedText,Added,Cardinality,,1
Abbreviation,Added,Attributes/Relationships,abbreviatedText,Added,Data Type,,string
Abbreviation,Added,Attributes/Relationships,abbreviatedText,Added,Cardinality,,1
Abbreviation,Added,Attributes/Relationships,notes,Added,Data Type,,CommentAnnotation
Abbreviation,Added,Attributes/Relationships,notes,Added,Cardinality,,0..*
Abbreviation,Added,Attributes/Relationships,id,Added,Data Type,,string
Abbreviation,Added,Attributes/Relationships,id,Added,Cardinality,,1
AdministrableProductProperty,Added,Attributes/Relationships,type,Added,Data Type,,Code
AdministrableProductProperty,Added,Attributes/Relationships,type,Added,Cardinality,,1
AdministrableProductProperty,Added,Attributes/Relationships,instanceType,Added,Data Type,,string
AdministrableProductProperty,Added,Attributes/Relationships,instanceType,Added,Cardinality,,1
AdministrableProductProperty,Added,Attributes/Relationships,extensionAttributes,Added,Data Type,,ExtensionAttribute
AdministrableProductProperty,Added,Attributes/Relationships,extensionAttributes,Added,Cardinality,,0..*
AdministrableProductProperty,Added,Attributes/Relationships,text,Added,Data Type,,string
AdministrableProductProperty,Added,Attributes/Relationships,text,Added,Cardinality,,1
AdministrableProductProperty,Added,Attributes/Relationships,id,Added,Data Type,,string
AdministrableProductProperty,Added,Attributes/Relationships,id,Added,Cardinality,,1
AdministrableProductProperty,Added,Attributes/Relationships,name,Added,Data Type,,string
AdministrableProductProperty,Added,Attributes/Relationships,name,Added,Cardinality,,1
AdministrableProductProperty,Added,Attributes/Relationships,quantity,Added,Data Type,,Quantity
AdministrableProductProperty,Added,Attributes/Relationships,quantity,Added,Cardinality,,0..1
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,instanceType,Added,Data Type,,string
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,instanceType,Added,Cardinality,,1
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,extensionAttributes,Added,Data Type,,ExtensionAttribute
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,extensionAttributes,Added,Cardinality,,0..*
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,dateValues,Added,Data Type,,GovernanceDate
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,dateValues,Added,Cardinality,,0..*
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,notes,Added,Data Type,,CommentAnnotation
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,notes,Added,Cardinality,,0..*
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,id,Added,Data Type,,string
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,id,Added,Cardinality,,1
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,contents,Added,Data Type,,NarrativeContent
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,contents,Added,Cardinality,,0..*
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,version,Added,Data Type,,string
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,version,Added,Cardinality,,1
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,status,Added,Data Type,,Code
StudyDefinitionDocumentVersion,Added,Attributes/Relationships,status,Added,Cardinality,,1
AssignedPerson,Added,Attributes/Relationships,instanceType,Added,Data Type,,string
AssignedPerson,Added,Attributes/Relationships,instanceType,Added,Cardinality,,1
AssignedPerson,Added,Attributes/Relationships,extensionAttributes,Added,Data Type,,ExtensionAttribute
AssignedPerson,Added,Attributes/Relationships,extensionAttributes,Added,Cardinality,,0..*
AssignedPerson,Added,Attributes/Relationships,jobTitle,Added,Data Type,,string
AssignedPerson,Added,Attributes/Relationships,jobTitle,Added,Cardinality,,1
AssignedPerson,Added,Attributes/Relationships,id,Added,Data Type,,string
AssignedPerson,Added,Attributes/Relationships,id,Added,Cardinality,,1
AssignedPerson,Added,Attributes/Relationships,name,Added,Data Type,,string
AssignedPerson,Added,Attributes/Relationships,name,Added,Cardinality,,1
AssignedPerson,Added,Attributes/Relationships,label,Added,Data Type,,string
AssignedPerson,Added,Attributes/Relationships,label,Added,Cardinality,,0..1
AssignedPerson,Added,Attributes/Relationships,description,Added,Data Type,,string
AssignedPerson,Added,Attributes/Relationships,description,Added,Cardinality,,0..1
AssignedPerson,Added,Attributes/Relationships,organizationId,Added,Data Type,,string
AssignedPerson,Added,Attributes/Relationships,organizationId,Added,Cardinality,,0..1
AssignedPerson,Added,Attributes/Relationships,personName,Added,Data Type,,PersonName
AssignedPerson,Added,Attributes/Relationships,personName,Added,Cardinality,,1
ReferenceIdentifier,Added,Attributes/Relationships,type,Added,Data Type,,Code
ReferenceIdentifier,Added,Attributes/Relationships,type,Added,Cardinality,,1
ReferenceIdentifier,Added,Attributes/Relationships,instanceType,Added,Data Type,,string
ReferenceIdentifier,Added,Attributes/Relationships,instanceType,Added,Cardinality,,1
ReferenceIdentifier,Added,Attributes/Relationships,extensionAttributes,Added,Data Type,,ExtensionAttribute
ReferenceIdentifier,Added,Attributes/Relationships,extensionAttributes,Added,Cardinality,,0..*
ReferenceIdentifier,Added,Attributes/Relationships,scopeId,Added,Data Type,,string
ReferenceIdentifier,Added,Attributes/Relationships,scopeId,Added,Cardinality,,1
ReferenceIdentifier,Added,Attributes/Relationships,text,Added,Data Type,,string
ReferenceIdentifier,Added,Attributes/Relationships,text,Added,Cardinality,,1
ReferenceIdentifier,Added,Attributes/Relationships,id,Added,Data Type,,string
ReferenceIdentifier,Added,Attributes/Relationships,id,Added,Cardinality,,1
Strength,Added,Attributes/Relationships,instanceType,Added,Data Type,,string
Strength,Added,Attributes/Relationships,instanceType,Added,Cardinality,,1
Strength,Added,Attributes/Relationships,extensionAttributes,Added,Data Type,,ExtensionAttribute
Strength,Added,Attributes/Relationships,extensionAttributes,Added,Cardinality,,0..*
Strength,Added,Attributes/Relationships,id,Added,Data Type,,string
Strength,Added,Attributes/Relationships,id,Added,Cardinality,,1
Strength,Added,Attributes/Relationships,denominator,Added,Data Type,,Quantity
Strength,Added,Attributes/Relationships,denominator,Added,Cardinality,,0..1
Strength,Added,Attributes/Relationships,name,Added,Data Type,,string
Strength,Added,Attributes/Relationships,name,Added,Cardinality,,1
Strength,Added,Attributes/Relationships,label,Added,Data Type,,string
Strength,Added,Attributes/Relationships,label,Added,Cardinality,,0..1
Strength,Added,Attributes/Relationships,description,Added,Data Type,,string
Strength,Added,Attributes/Relationships,description,Added,Cardinality,,0..1
Strength,Added,Attributes/Relationships,numerator,Added,Data Type,,"Quantity, Range"
Strength,Added,Attributes/Relationships,numerator,Added,Cardinality,,1
ProductOrganizationRole,Added,Attributes/Relationships,instanceType,Added,Data Type,,string
ProductOrganizationRole,Added,Attributes/Relationships,instanceType,Added,Cardinality,,1
ProductOrganizationRole,Added,Attributes/Relationships,extensionAttributes,Added,Data Type,,ExtensionAttribute
ProductOrganizationRole,Added,Attributes/Relationships,extensionAttributes,Added,Cardinality,,0..*
ProductOrganizationRole,Added,Attributes/Relationships,code,Added,Data Type,,Code
ProductOrganizationRole,Added,Attributes/Relationships,code,Added,Cardinality,,1
ProductOrganizationRole,Added,Attributes/Relationships,appliesToIds,Added,Data Type,,string
ProductOrganizationRole,Added,Attributes/Relationships,appliesToIds,Added,Cardinality,,0..*
ProductOrganizationRole,Added,Attributes/Relationships,id,Added,Data Type,,string
ProductOrganizationRole,Added,Attributes/Relationships,id,Added,Cardinality,,1
ProductOrganizationRole,Added,Attributes/Relationships,name,Added,Data Type,,string
ProductOrganizationRole,Added,Attributes/Relationships,name,Added,Cardinality,,1
ProductOrganizationRole,Added,Attributes/Relationships,label,Added,Data Type,,string
ProductOrganizationRole,Added,Attributes/Relationships,label,Added,Cardinality,,0..1
ProductOrganizationRole,Added,Attributes/Relationships,description,Added,Data Type,,string
ProductOrganizationRole,Added,Attributes/Relationships,description,Added,Cardinality,,0..1
ProductOrganizationRole,Added,Attributes/Relationships,organizationId,Added,Data Type,,string
ProductOrganizationRole,Added,Attributes/Relationships,organizationId,Added,Cardinality,,1
ExtensionAttribute,Added,Attributes/Relationships,valueId,Added,Data Type,,string
ExtensionAttribute,Added,Attributes/Relationships,valueId,Added,Cardinality,,0..1
ExtensionAttribute,Added,Attributes/Relationships,instanceType,Added,Data Type,,string
