status,class_name,property_name,data_type
Class - NEW,Condition,,
,,id,string
,,name,string
,,description,string
,,label,string
,,text,string
,,dictionary,SyntaxTemplateDictionary
,,context,"Activity, ScheduledActivityInstance"
,,appliesTo,"Activity, BiomedicalConcept, BiomedicalConceptCategory, BiomedicalConceptSurrogate, Procedure"
Class - NEW,Masking,,
,,id,string
,,description,string
,,role,Code
Class - NEW,ResearchOrganization,,
,,id,string
,,name,string
,,label,string
,,identifier,string
,,identifierScheme,string
,,legalAddress,Address
,,type,Code
,,manages,StudySite
Class - NEW,StudySite,,
,,id,string
,,name,string
,,description,string
,,label,string
,,currentEnrollment,SubjectEnrollment
Class - NEW,StudyTitle,,
,,id,string
,,text,string
,,type,Code
,,,
Property - NEW,StudyDesign,appliesTo,StudySite
Property - NEW,StudyDesign,characteristics,Code
Property - NEW,StudyDesign,maskingRoles,Masking
Property - NEW,Indication,isRareDisease,Boolean
Property - NEW,StudyDesignPopulation,includesHealthySubjects,Boolean
Property - NEW,StudyDesignPopulation,plannedAge,Range
Property - NEW,StudyVersion,titles,StudyTitle
Property - NEW,PopulationDefinition,includesHealthySubjects,Boolean
Property - NEW,PopulationDefinition,plannedAge,Range
Property - NEW,StudyCohort,includesHealthySubjects,Boolean
Property - NEW,StudyCohort,plannedAge,Range
Property - DELETED,Activity,isConditional,boolean
Property - DELETED,Activity,isConditionalReason,string
Property - DELETED,Procedure,isConditional,Boolean
Property - DELETED,Procedure,isConditionalReason,string
Property - DELETED,StudyDesignPopulation,plannedMaximumAge,Quantity
Property - DELETED,StudyDesignPopulation,plannedMinimumAge,Quantity
Property - DELETED,StudyVersion,studyAcronym,string
Property - DELETED,StudyVersion,studyTitle,string
Property - DELETED,PopulationDefinition,plannedMaximumAge,Quantity
Property - DELETED,PopulationDefinition,plannedMinimumAge,Quantity
Property - DELETED,StudyCohort,plannedMaximumAge,Quantity
Property - DELETED,StudyCohort,plannedMinimumAge,Quantity
Property - DELETED,StudyProtocolDocumentVersion,briefTitle,string
Property - DELETED,StudyProtocolDocumentVersion,officialTitle,string
Property - DELETED,StudyProtocolDocumentVersion,publicTitle,string
Property - DELETED,StudyProtocolDocumentVersion,scientificTitle,string
