status,class_name,property_name,data_type
Class - NEW,Content,,
,,sectionTitle,String
,,sectionNumber,String
,,contentChildren,List<Content>
,,name,String
,,id,String
,,text,String
,,,
Property - NEW,Organization,name,String
Property - NEW,Indication,name,String
Property - NEW,StudyDesignPopulation,name,String
Property - NEW,StudyDesign,contents,List<Content>
Property - NEW,Endpoint,purpose,String
Property - NEW,BiomedicalConceptProperty,name,String
Property - NEW,BiomedicalConcept,name,String
Property - NEW,Objective,name,String
Property - NEW,Timing,description,String
Property - NEW,Timing,label,String
Property - NEW,Timing,name,String
Property - DELETED,Organization,organizationName,String
Property - DELETED,Endpoint,endpointPurposeDescription,String
Property - DELETED,BiomedicalConceptProperty,bcPropertyName,String
Property - DELETED,BiomedicalConcept,bcName,String
Property - DELETED,Timing,timingDescription,String
