status,class_name,property_name,data_type
Class - NEW,GeographicScope,,
,,code,AliasCode
,,id,String
,,type,Code
Class - NEW,GovernanceDate,,
,,dateValue,Date
,,geographicScopes,GeographicScope
,,name,String
,,description,String
,,id,String
,,label,String
,,type,Code
Class - NEW,StudyAmendment,,
,,summary,String
,,number,String
,,secondaryReasons,StudyAmendmentReason
,,previous,StudyAmendment
,,primaryReason,StudyAmendmentReason
,,substantialImpact,Boolean
,,id,String
,,enrollments,SubjectEnrollment
Class - NEW,StudyAmendmentReason,,
,,otherReason,String
,,code,Code
,,id,String
Class - NEW,StudyProtocolDocument,,
,,versions,StudyProtocolDocumentVersion
,,name,String
,,description,String
,,id,String
,,label,String
Class - NEW,StudyProtocolDocumentVersion,,
,,publicTitle,String
,,scientificTitle,String
,,contents,NarrativeContent
,,children,StudyProtocolDocumentVersion
,,dateValues,GovernanceDate
,,protocolStatus,Code
,,briefTitle,String
,,protocolVersion,String
,,id,String
,,officialTitle,String
Class - NEW,StudyVersion,,
,,studyDesigns,StudyDesign
,,studyRationale,String
,,amendments,StudyAmendment
,,studyTitle,String
,,businessTherapeuticAreas,Code
,,type,Code
,,studyIdentifiers,StudyIdentifier
,,documentVersion,StudyProtocolDocumentVersion
,,dateValues,GovernanceDate
,,studyVersion,String
,,studyPhase,AliasCode
,,id,String
,,studyAcronym,String
Class - NEW,SubjectEnrollment,,
,,quantity,String
Class - DELETED,StudyProtocolVersion,,
,,publicTitle,String
,,scientificTitle,String
,,protocolStatus,Code
,,briefTitle,String
,,protocolVersion,String
,,protocolAmendment,String
,,id,String
,,protocolEffectiveDate,Date
,,officialTitle,String
,,,
Property - NEW,BiomedicalConceptCategory,bcCategoryMember,BiomedicalConcept
Property - NEW,StudyDesign,documentVersion,StudyProtocolDocumentVersion
Property - NEW,Study,description,String
Property - NEW,Study,documentedBy,StudyProtocolDocument
Property - NEW,Study,label,String
Property - NEW,Study,name,String
Property - NEW,Study,versions,StudyVersion
Property - DELETED,BiomedicalConceptCategory,bcCategoryMembers,BiomedicalConcept
Property - DELETED,StudyDesign,contents,NarrativeContent
Property - DELETED,Study,businessTherapeuticAreas,Code
Property - DELETED,Study,studyAcronym,String
Property - DELETED,Study,studyDesigns,StudyDesign
Property - DELETED,Study,studyIdentifiers,StudyIdentifier
Property - DELETED,Study,studyPhase,AliasCode
Property - DELETED,Study,studyProtocolVersions,StudyProtocolVersion
Property - DELETED,Study,studyRationale,String
Property - DELETED,Study,studyTitle,String
Property - DELETED,Study,studyVersion,String
Property - DELETED,Study,type,Code
