status,class_name,property_name,data_type
Class - NEW,NarrativeContentItem,,
,,id,string
,,name,string
,,text,string
Class - NEW,StudyDefinitionDocument,,
,,id,string
,,name,string
,,description,string
,,label,string
,,template,string
,,language,Code
,,type,Code
,,notes,CommentAnnotation
,,versions,StudyDefinitionDocumentVersion
Class - NEW,StudyDefinitionDocumentVersion,,
,,id,string
,,version,string
,,status,Code
,,notes,CommentAnnotation
,,dateValues,GovernanceDate
,,contents,NarrativeContent
,,children,StudyDefinitionDocumentVersion
Class - DELETED,StudyProtocolDocument,,
,,id,string
,,name,string
,,description,string
,,label,string
,,versions,StudyProtocolDocumentVersion
Class - DELETED,StudyProtocolDocumentVersion,,
,,id,string
,,protocolVersion,string
,,protocolStatus,Code
,,dateValues,GovernanceDate
,,contents,NarrativeContent
,,children,StudyProtocolDocumentVersion
,,,
Property - NEW,StudyVersion,documentVersions,StudyDefinitionDocumentVersion
Property - NEW,NarrativeContent,contentItem,NarrativeContentItem
Property - NEW,NarrativeContent,displaySectionNumber,Boolean
Property - NEW,NarrativeContent,displaySectionTitle,Boolean
Property - DELETED,StudyVersion,documentVersion,StudyProtocolDocumentVersion
Property - DELETED,NarrativeContent,text,string
