status,class_name,property_name,data_type
Class - NEW,AdministrableProduct,,
,,id,string
,,name,string
,,description,string
,,label,string
,,administrableDoseForm,AliasCode
,,notes,CommentAnnotation
,,pharmacologicClass,Code
,,identifiers,AdministrableProductIdentifier
,,properties,AdministrableProductProperty
,,ingredients,Ingredient
Class - NEW,AdministrableProductIdentifier,,
,,id,string
,,text,string
,,scope,Organization
Class - NEW,AdministrableProductProperty,,
,,id,string
,,name,string
,,text,string
,,type,Code
,,quantity,Quantity
Class - NEW,Administration,,
,,id,string
,,name,string
,,description,string
,,label,string
,,administrableProduct,AdministrableProduct
,,route,AliasCode
,,dose,Quantity
,,frequency,AliasCode
,,notes,CommentAnnotation
,,duration,AdministrationDuration
Class - NEW,AssignedPerson,,
,,id,string
,,name,string
,,description,string
,,label,string
,,jobTitle,string
,,organization,Organization
Class - NEW,Identifier,,
,,id,string
,,text,string
,,scope,Organization
Class - NEW,Ingredient,,
,,id,string
,,role,Code
,,substance,Substance
Class - NEW,ReferenceIdentifier,,
,,id,string
,,text,string
,,scope,Organization
,,type,Code
Class - NEW,Strength,,
,,id,string
,,name,string
,,description,string
,,label,string
,,numerator,"Quantity, Range"
,,denominator,Quantity
Class - NEW,StudyRole,,
,,id,string
,,name,string
,,label,string
,,description,string
,,assignedPersons,AssignedPerson
,,code,Code
,,masking,Masking
,,organizations,Organization
,,appliesTo,"StudyDesign, StudyVersion"
Class - NEW,Substance,,
,,id,string
,,name,string
,,description,string
,,label,string
,,codes,Code
,,strengths,Strength
,,referenceSubstance,Substance
Class - DELETED,AgentAdministration,,
,,id,string
,,name,string
,,description,string
,,label,string
,,duration,AdministrationDuration
,,route,AliasCode
,,dose,Quantity
,,frequency,AliasCode
,,notes,CommentAnnotation
Class - DELETED,ResearchOrganization,,
,,id,string
,,name,string
,,label,string
,,identifier,string
,,identifierScheme,string
,,legalAddress,Address
,,organizationType,Code
,,manages,StudySite
,,,
Property - NEW,Organization,managedSites,StudySite
Property - NEW,Organization,type,Code
Property - NEW,StudyVersion,referenceIdentifiers,ReferenceIdentifier
Property - NEW,SubjectEnrollment,appliesTo,StudySite
Property - NEW,StudyIdentifier,scope,Organization
Property - NEW,StudyIdentifier,text,string
Property - DELETED,StudyDesign,maskingRoles,Masking
Property - DELETED,StudyDesign,organizations,ResearchOrganization
Property - DELETED,Masking,role,Code
Property - DELETED,StudyIntervention,pharmacologicClass,Code
Property - DELETED,Organization,organizationType,Code
Property - DELETED,StudyIdentifier,studyIdentifier,string
Property - DELETED,StudyIdentifier,studyIdentifierScope,Organization
Property - DELETED,StudySite,currentEnrollment,SubjectEnrollment
