Class Name,Class Status,Class Characteristic,Attribute/Relationship Name,Attribute/Relationship Status,Attribute/Relationship Characteristic,Old Value,New Value
PersonName,Added,Abstract,,,,,False
PersonName,Added,Attributes/Relationships,givenNames,Added,Cardinality,,0..*
PersonName,Added,Attributes/Relationships,givenNames,Added,Model Representation,,Attribute
PersonName,Added,Attributes/Relationships,givenNames,Added,Data Type,,String
PersonName,Added,Attributes/Relationships,text,Added,Cardinality,,0..1
PersonName,Added,Attributes/Relationships,text,Added,Model Representation,,Attribute
PersonName,Added,Attributes/Relationships,text,Added,Data Type,,String
PersonName,Added,Attributes/Relationships,familyName,Added,Cardinality,,0..1
PersonName,Added,Attributes/Relationships,familyName,Added,Model Representation,,Attribute
PersonName,Added,Attributes/Relationships,familyName,Added,Data Type,,String
PersonName,Added,Attributes/Relationships,prefixes,Added,Cardinality,,0..*
PersonName,Added,Attributes/Relationships,prefixes,Added,Model Representation,,Attribute
PersonName,Added,Attributes/Relationships,prefixes,Added,Data Type,,String
PersonName,Added,Attributes/Relationships,id,Added,Cardinality,,1
PersonName,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
PersonName,Added,Attributes/Relationships,id,Added,Data Type,,String
PersonName,Added,Attributes/Relationships,suffixes,Added,Cardinality,,0..*
PersonName,Added,Attributes/Relationships,suffixes,Added,Model Representation,,Attribute
PersonName,Added,Attributes/Relationships,suffixes,Added,Data Type,,String
QuantityRange,Added,Abstract,,,,,True
QuantityRange,Added,Attributes/Relationships,id,Added,Cardinality,,1
QuantityRange,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
QuantityRange,Added,Attributes/Relationships,id,Added,Data Type,,String
QuantityRange,Added,Sub Classes,,,,,"Quantity, Range"
Duration,Added,Abstract,,,,,False
Duration,Added,Attributes/Relationships,reasonDurationWillVary,Added,Cardinality,,0..1
Duration,Added,Attributes/Relationships,reasonDurationWillVary,Added,Model Representation,,Attribute
Duration,Added,Attributes/Relationships,reasonDurationWillVary,Added,Data Type,,String
Duration,Added,Attributes/Relationships,durationWillVary,Added,Cardinality,,1
Duration,Added,Attributes/Relationships,durationWillVary,Added,Model Representation,,Attribute
Duration,Added,Attributes/Relationships,durationWillVary,Added,Data Type,,Boolean
Duration,Added,Attributes/Relationships,text,Added,Cardinality,,0..1
Duration,Added,Attributes/Relationships,text,Added,Model Representation,,Attribute
Duration,Added,Attributes/Relationships,text,Added,Data Type,,String
Duration,Added,Attributes/Relationships,id,Added,Cardinality,,1
Duration,Added,Attributes/Relationships,id,Added,Model Representation,,Attribute
Duration,Added,Attributes/Relationships,id,Added,Data Type,,String
Duration,Added,Attributes/Relationships,quantity,Added,Cardinality,,0..1
Duration,Added,Attributes/Relationships,quantity,Added,Model Representation,,Attribute
Duration,Added,Attributes/Relationships,quantity,Added,Data Type,,QuantityRange
AdministrationDuration,Deleted,Abstract,,,,False,
AdministrationDuration,Deleted,Attributes/Relationships,reasonDurationWillVary,Deleted,Cardinality,0..1,
AdministrationDuration,Deleted,Attributes/Relationships,reasonDurationWillVary,Deleted,Model Representation,Attribute,
AdministrationDuration,Deleted,Attributes/Relationships,reasonDurationWillVary,Deleted,Data Type,String,
AdministrationDuration,Deleted,Attributes/Relationships,durationWillVary,Deleted,Cardinality,1,
AdministrationDuration,Deleted,Attributes/Relationships,durationWillVary,Deleted,Model Representation,Attribute,
AdministrationDuration,Deleted,Attributes/Relationships,durationWillVary,Deleted,Data Type,Boolean,
