status,class_name,property_name,data_type
Class - NEW,BiospecimenRetention,,
,,id,string
,,name,string
,,description,string
,,label,string
,,isRetained,Boolean
,,includesDNA,Boolean
Class - NEW,InterventionalStudyDesign,,
,,id,string
,,name,string
,,description,string
,,label,string
,,rationale,string
,,activities,Activity
,,studyPhase,AliasCode
,,biospecimenRetentions,BiospecimenRetention
,,studyType,Code
,,therapeuticAreas,Code
,,characteristics,Code
,,notes,CommentAnnotation
,,encounters,Encounter
,,estimands,Estimand
,,indications,Indication
,,objectives,Objective
,,scheduleTimelines,ScheduleTimeline
,,arms,StudyArm
,,studyCells,StudyCell
,,documentVersions,StudyDefinitionDocumentVersion
,,elements,StudyElement
,,studyInterventions,StudyIntervention
,,epochs,StudyEpoch
,,population,StudyDesignPopulation
,,subTypes,Code
,,intentTypes,Code
,,model,Code
,,blindingSchema,Code
Class - NEW,ObservationalStudyDesign,,
,,id,string
,,name,string
,,description,string
,,label,string
,,rationale,string
,,activities,Activity
,,studyPhase,AliasCode
,,biospecimenRetentions,BiospecimenRetention
,,studyType,Code
,,therapeuticAreas,Code
,,characteristics,Code
,,notes,CommentAnnotation
,,encounters,Encounter
,,estimands,Estimand
,,indications,Indication
,,objectives,Objective
,,scheduleTimelines,ScheduleTimeline
,,arms,StudyArm
,,studyCells,StudyCell
,,documentVersions,StudyDefinitionDocumentVersion
,,elements,StudyElement
,,studyInterventions,StudyIntervention
,,epochs,StudyEpoch
,,population,StudyDesignPopulation
,,timePerspective,Code
,,subTypes,Code
,,model,Code
,,samplingMethod,Code
,,,
Property - NEW,StudyDesign,biospecimenRetentions,BiospecimenRetention
Property - NEW,StudyDesign,studyPhase,AliasCode
Property - NEW,StudyDesign,studyType,Code
Property - DELETED,StudyDesign,blindingSchema,Code
Property - DELETED,StudyDesign,interventionModel,Code
Property - DELETED,StudyDesign,trialIntentTypes,Code
Property - DELETED,StudyDesign,trialTypes,Code
Property - DELETED,StudyVersion,studyPhase,AliasCode
Property - DELETED,StudyVersion,studyType,Code
