status,class_name,property_name,data_type
Class - NEW,BiomedicalConceotSurrogatre,,
,,name,String
,,description,String
,,id,String
,,label,String
,,bcSurrogateReference,String
Class - NEW,EligibilityCriteria,,
,,identifier,String
Class - NEW,GovernanceDate,,
,,date,Date
,,name,String
,,description,String
,,label,String
Class - NEW,NarrativeContent,,
,,sectionTitle,String
,,sectionNumber,String
,,name,String
,,id,String
,,text,String
Class - NEW,ScheduleInstance,,
Class - NEW,ScheduledTimelineExit,,
,,id,String
Class - NEW,Specification1,,
Class - NEW,StiudyDesignPopulation,,
,,plannedNumberOfParticipants,int
,,plannedMaximumAgeOfParticipants,String
,,name,String
,,description,String
,,id,String
,,label,String
,,plannedMinimumAgeOfParticipants,String
Class - NEW,StudyAmendment,,
,,summary,String
,,number,String
,,substantialImpact,Boolean
,,enrolled,String
Class - NEW,StudyAmendmentReason,,
,,otherReason,String
Class - NEW,StudyProtocolDocument,,
,,name,String
,,description,String
,,label,String
Class - NEW,StudyProtocolDocumentVersion,,
,,publicTitle,String
,,scientificTitle,String
,,briefTitle,String
,,protocolVersion,String
,,id,String
,,officialTitle,String
Class - NEW,StudyVersion,,
,,studyRationale,String
,,studyVersion,String
,,id,String
,,studyTitle,String
,,studyAcronym,String
Class - NEW,SyntaxTemplateDirectory,,
,,name,String
,,description,String
,,label,String
,,parameterMap,Map
Class - DELETED,BiomedicalConceptSurrogate,,
,,name,String
,,description,String
,,id,String
,,label,String
,,bcSurrogateReference,String
Class - DELETED,Content,,
,,sectionTitle,String
,,sectionNumber,String
,,name,String
,,contentChildren,List<Content>
,,id,String
,,text,String
Class - DELETED,ScheduleTimelineExit,,
,,id,String
Class - DELETED,StudyDesignPopulation,,
,,plannedSexOfParticipants,List<Code>
,,plannedNumberOfParticipants,int
,,plannedMaximumAgeOfParticipants,String
,,name,String
,,description,String
,,id,String
,,label,String
,,plannedMinimumAgeOfParticipants,String
Class - DELETED,StudyProtocolVersion,,
,,publicTitle,String
,,scientificTitle,String
,,protocolStatus,Code
,,briefTitle,String
,,protocolVersion,String
,,protocolAmendment,String
,,id,String
,,protocolEffectiveDate,Date
,,officialTitle,String
Class - DELETED,SyntaxTemplateDictionary,,
,,name,String
,,description,String
,,id,String
,,label,String
,,parameterMap,"Map<String,Object>"
,,,
Property - NEW,TransitionRule,label,String
Property - NEW,TransitionRule,name,String
Property - NEW,TransitionRule,text,String
Property - NEW,Procedure,procedureConditional,Boolean
Property - NEW,Procedure,proceudreConditionalReason,String
Property - NEW,BiomedicalConceptProperty,bcPropertyDataType,String
Property - NEW,Study,description,String
Property - NEW,Study,label,String
Property - NEW,Study,name,String
Property - NEW,AnalysisPopulation,label,String
Property - NEW,AnalysisPopulation,name,String
Property - NEW,AnalysisPopulation,text,String
Property - NEW,Timing,timeingWindowUpper,String
Property - DELETED,BiomedicalConceptCategory,bcCategoryChildren,List<BiomedicalConceptCategory>
Property - DELETED,BiomedicalConceptCategory,bcCategoryMembers,List<BiomedicalConcept>
Property - DELETED,BiomedicalConceptCategory,code,AliasCode
Property - DELETED,Organization,organizationLegalAddress,Address
Property - DELETED,Organization,type,Code
Property - DELETED,Address,country,Code
Property - DELETED,Indication,codes,List<Code>
Property - DELETED,StudyEpoch,nextStudyEpoch,StudyEpoch
Property - DELETED,StudyEpoch,previousStudyEpoch,StudyEpoch
Property - DELETED,StudyEpoch,type,Code
Property - DELETED,Estimand,analysisPopulation,AnalysisPopulation
Property - DELETED,Estimand,intercurrentEvents,List<IntercurrentEvent>
Property - DELETED,Estimand,treatment,InvestigationalIntervention
Property - DELETED,Estimand,variableOfInterest,Endpoint
Property - DELETED,StudyArm,dataOriginType,Code
Property - DELETED,StudyArm,type,Code
Property - DELETED,Activity,activityTimeline,ScheduleTimeline
Property - DELETED,Activity,bcCategories,List<BiomedicalConceptCategory>
Property - DELETED,Activity,bcSurrogates,List<BiomedicalConceptSurrogate>
Property - DELETED,Activity,biomedicalConcepts,List<BiomedicalConcept>
Property - DELETED,Activity,definedProcedures,List<Procedure>
Property - DELETED,Activity,nextActivity,Activity
Property - DELETED,Activity,previousActivity,Activity
Property - DELETED,StudyDesign,activities,List<Activity>
Property - DELETED,StudyDesign,contents,List<Content>
Property - DELETED,StudyDesign,encounters,List<Encounter>
Property - DELETED,StudyDesign,interventionModel,Code
Property - DELETED,StudyDesign,studyArms,List<StudyArm>
Property - DELETED,StudyDesign,studyCells,List<StudyCell>
Property - DELETED,StudyDesign,studyDesignBlindingScheme,AliasCode
Property - DELETED,StudyDesign,studyElements,List<StudyElement>
Property - DELETED,StudyDesign,studyEpochs,List<StudyEpoch>
Property - DELETED,StudyDesign,studyEstimands,List<Estimand>
Property - DELETED,StudyDesign,studyIndications,List<Indication>
Property - DELETED,StudyDesign,studyInvestigationalInterventions,List<InvestigationalIntervention>
Property - DELETED,StudyDesign,studyObjectives,List<Objective>
Property - DELETED,StudyDesign,studyPopulations,List<StudyDesignPopulation>
Property - DELETED,StudyDesign,studyScheduleTimelines,List<ScheduleTimeline>
Property - DELETED,StudyDesign,therapeuticAreas,List<Code>
Property - DELETED,StudyDesign,trialIntentTypes,List<Code>
Property - DELETED,StudyDesign,trialTypes,List<Code>
Property - DELETED,Endpoint,description,String
Property - DELETED,Endpoint,endpointLevel,Code
Property - DELETED,Endpoint,id,String
Property - DELETED,SyntaxTemplate,dictionary,SyntaxTemplateDictionary
Property - DELETED,Encounter,encounterContactModes,List<Code>
Property - DELETED,Encounter,encounterEnvironmentalSetting,Code
Property - DELETED,Encounter,encounterScheduledAtTiming,Timing
Property - DELETED,Encounter,nextEncounter,Encounter
Property - DELETED,Encounter,previousEncounter,Encounter
Property - DELETED,Encounter,transitionEndRule,TransitionRule
Property - DELETED,Encounter,transitionStartRule,TransitionRule
Property - DELETED,Encounter,type,Code
Property - DELETED,Procedure,code,Code
Property - DELETED,Procedure,procedureIsConditional,boolean
Property - DELETED,Procedure,procedureIsConditionalReason,String
Property - DELETED,StudyElement,transitionEndRule,TransitionRule
Property - DELETED,StudyElement,transitionStartRule,TransitionRule
Property - DELETED,ScheduledInstance,defaultCondition,ScheduledInstance
Property - DELETED,ScheduledInstance,epoch,StudyEpoch
Property - DELETED,ScheduledInstance,instanceType,ScheduledInstanceType
Property - DELETED,ScheduledInstance,scheduleTimelineExit,ScheduleTimelineExit
Property - DELETED,ScheduledInstance,scheduledInstanceTimeline,ScheduleTimeline
Property - DELETED,ScheduledInstance,scheduledInstanceTimings,List<Timing>
Property - DELETED,BiomedicalConceptProperty,bcPropertyDatatype,String
Property - DELETED,BiomedicalConceptProperty,bcPropertyResponseCodes,List<ResponseCode>
Property - DELETED,BiomedicalConceptProperty,code,AliasCode
Property - DELETED,Study,businessTherapeuticAreas,List<Code>
Property - DELETED,Study,id,UUID
Property - DELETED,Study,studyAcronym,String
Property - DELETED,Study,studyDesigns,List<StudyDesign>
Property - DELETED,Study,studyIdentifiers,List<StudyIdentifier>
Property - DELETED,Study,studyPhase,AliasCode
Property - DELETED,Study,studyProtocolVersions,List<StudyProtocolVersion>
Property - DELETED,Study,studyRationale,String
Property - DELETED,Study,studyTitle,String
Property - DELETED,Study,studyVersion,String
Property - DELETED,Study,type,Code
Property - DELETED,ResponseCode,code,Code
Property - DELETED,StudyIdentifier,studyIdentifierScope,Organization
Property - DELETED,BiomedicalConcept,bcProperties,List<BiomedicalConceptProperty>
Property - DELETED,BiomedicalConcept,code,AliasCode
Property - DELETED,Objective,description,String
Property - DELETED,Objective,id,String
Property - DELETED,Objective,label,String
Property - DELETED,Objective,name,String
Property - DELETED,Objective,objectiveEndpoints,List<Endpoint>
Property - DELETED,Objective,objectiveLevel,Code
Property - DELETED,ScheduleTimeline,scheduleTimelineEntry,ScheduledInstance
Property - DELETED,ScheduleTimeline,scheduleTimelineExits,List<ScheduleTimelineExit>
Property - DELETED,ScheduleTimeline,scheduleTimelineInstances,List<ScheduledInstance>
Property - DELETED,StudyCell,id,String
Property - DELETED,StudyCell,studyArm,StudyArm
Property - DELETED,StudyCell,studyElements,List<StudyElement>
Property - DELETED,StudyCell,studyEpoch,StudyEpoch
Property - DELETED,AliasCode,standardCode,Code
Property - DELETED,AliasCode,standardCodeAliases,List<Code>
Property - DELETED,InvestigationalIntervention,codes,List<Code>
Property - DELETED,Timing,relativeFromScheduledInstance,ScheduledInstance
Property - DELETED,Timing,relativeToScheduledInstance,ScheduledInstance
Property - DELETED,Timing,timingRelativeToFrom,Code
Property - DELETED,Timing,timingWindowUpper,String
Property - DELETED,Timing,type,Code
Property - DELETED,ScheduledActivityInstance,activities,List<Activity>
Property - DELETED,ScheduledActivityInstance,scheduledActivityInstanceEncounter,Encounter
