status,class_name,property_name,data_type
Class - NEW,AdministrationDuration,,
,,id,string
,,description,string
,,durationWillVary,Boolean
,,reasonDurationWillVary,string
,,quantity,Quantity
Class - NEW,AgentAdministration,,
,,id,string
,,name,string
,,description,string
,,label,string
,,duration,AdministrationDuration
,,route,Code
,,dose,Quantity
,,frequency,Code
Class - NEW,Characteristic,,
,,id,string
,,name,string
,,description,string
,,label,string
,,text,string
,,dictionary,SyntaxTemplateDictionary
Class - NEW,Condition,,
,,id,string
,,name,string
,,description,string
,,label,string
,,text,string
,,dictionary,SyntaxTemplateDictionary
,,context,"Activity, ScheduledActivityInstance"
,,appliesTo,"Activity, BiomedicalConcept, BiomedicalConceptCategory, BiomedicalConceptSurrogate, Procedure"
Class - NEW,EligibilityCriterion,,
,,id,string
,,name,string
,,description,string
,,label,string
,,text,string
,,dictionary,SyntaxTemplateDictionary
,,identifier,string
,,category,Code
,,context,"StudyDesign, StudyVersion"
,,next,EligibilityCriterion
,,previous,EligibilityCriterion
Class - NEW,GeographicScope,,
,,id,string
,,code,AliasCode
,,type,Code
Class - NEW,GovernanceDate,,
,,id,string
,,name,string
,,description,string
,,label,string
,,dateValue,Date
,,type,Code
,,geographicScopes,GeographicScope
Class - NEW,Masking,,
,,id,string
,,description,string
,,role,Code
Class - NEW,NarrativeContent,,
,,id,string
,,name,string
,,text,string
,,sectionNumber,string
,,sectionTitle,string
,,children,NarrativeContent
Class - NEW,PopulationDefinition,,
,,id,string
,,name,string
,,description,string
,,label,string
,,includesHealthySubjects,Boolean
,,plannedSex,Code
,,criteria,EligibilityCriterion
,,plannedAge,Range
,,plannedEnrollmentNumber,Range
,,plannedCompletionNumber,Range
Class - NEW,Quantity,,
,,id,string
,,value,Float
,,unit,Code
Class - NEW,Range,,
,,id,string
,,minValue,Float
,,maxValue,Float
,,isApproximate,Boolean
,,unit,Code
Class - NEW,ResearchOrganization,,
,,id,string
,,name,string
,,label,string
,,identifier,string
,,identifierScheme,string
,,legalAddress,Address
,,organizationType,Code
,,manages,StudySite
Class - NEW,StudyAmendment,,
,,id,string
,,number,string
