Class Name,Class Status,Class Characteristic,Attribute/Relationship Name,Attribute/Relationship Status,Attribute/Relationship Characteristic,Old Value,New Value
MedicalDeviceIdentifier,Added,Super Classes,,,,,Identifier
MedicalDeviceIdentifier,Added,Preferred Term,,,,,Medical Device Identifier
MedicalDeviceIdentifier,Added,NCI C-Code,,,,,C215501
MedicalDeviceIdentifier,Added,Attributes/Relationships,type,Added,Codelist Ref,,C215484
MedicalDeviceIdentifier,Added,Attributes/Relationships,type,Added,Preferred Term,,Medical Device Identifier Type
MedicalDeviceIdentifier,Added,Attributes/Relationships,type,Added,NCI C-Code,,C215621
MedicalDeviceIdentifier,Added,Attributes/Relationships,type,Added,Role,,Complex Datatype Relationship
MedicalDeviceIdentifier,Added,Attributes/Relationships,type,Added,Model Representation,,Attribute
MedicalDeviceIdentifier,Added,Attributes/Relationships,type,Added,Has Value List,,Y (C215484)
MedicalDeviceIdentifier,Added,Attributes/Relationships,type,Added,Definition,,A characterization or classification of the medical device identifier.
MedicalDeviceIdentifier,Added,Attributes/Relationships,type,Added,Codelist URL,,https://evsexplore.semantics.cancer.gov/evsexplore/subset/ncit/C215484
MedicalDeviceIdentifier,Added,Attributes/Relationships,text,Added,Inherited From,,Identifier
MedicalDeviceIdentifier,Added,Attributes/Relationships,text,Added,Preferred Term,,Medical Device Identifier Text
MedicalDeviceIdentifier,Added,Attributes/Relationships,text,Added,NCI C-Code,,C215620
MedicalDeviceIdentifier,Added,Attributes/Relationships,text,Added,Role,,Attribute
MedicalDeviceIdentifier,Added,Attributes/Relationships,text,Added,Model Representation,,Attribute
MedicalDeviceIdentifier,Added,Attributes/Relationships,text,Added,Has Value List,,N
MedicalDeviceIdentifier,Added,Attributes/Relationships,text,Added,Definition,,An instance of structured text that represents the medical device identifier.
MedicalDeviceIdentifier,Added,Attributes/Relationships,scope,Added,Inherited From,,Identifier
MedicalDeviceIdentifier,Added,Attributes/Relationships,scope,Added,Role,,Relationship
MedicalDeviceIdentifier,Added,Attributes/Relationships,scope,Added,Model Representation,,Relationship
MedicalDeviceIdentifier,Added,Attributes/Relationships,scope,Added,Has Value List,,N/A
MedicalDeviceIdentifier,Added,Attributes/Relationships,scope,Added,Definition,,A USDM relationship between the MedicalDeviceIdentifier and Organization classes which provides the details associated with each organization that has assigned the identifier.
MedicalDeviceIdentifier,Added,Definition,,,,,"A sequence of characters used to identify, name, or characterize the medical device."
StudyAmendmentImpact,Added,Preferred Term,,,,,Study Amendment Impact
StudyAmendmentImpact,Added,NCI C-Code,,,,,C215500
StudyAmendmentImpact,Added,Attributes/Relationships,type,Added,Codelist Ref,,C215481
StudyAmendmentImpact,Added,Attributes/Relationships,type,Added,Preferred Term,,Study Amendment Impact Type
StudyAmendmentImpact,Added,Attributes/Relationships,type,Added,NCI C-Code,,C215612
StudyAmendmentImpact,Added,Attributes/Relationships,type,Added,Role,,Complex Datatype Relationship
StudyAmendmentImpact,Added,Attributes/Relationships,type,Added,Model Representation,,Attribute
StudyAmendmentImpact,Added,Attributes/Relationships,type,Added,Has Value List,,Y (C215481)
StudyAmendmentImpact,Added,Attributes/Relationships,type,Added,Definition,,A characterization or classification of the study amendment impact.
StudyAmendmentImpact,Added,Attributes/Relationships,type,Added,Codelist URL,,https://evsexplore.semantics.cancer.gov/evsexplore/subset/ncit/C215481
StudyAmendmentImpact,Added,Attributes/Relationships,text,Added,Preferred Term,,Study Amendment Impact Text
StudyAmendmentImpact,Added,Attributes/Relationships,text,Added,NCI C-Code,,C215611
StudyAmendmentImpact,Added,Attributes/Relationships,text,Added,Role,,Attribute
StudyAmendmentImpact,Added,Attributes/Relationships,text,Added,Model Representation,,Attribute
StudyAmendmentImpact,Added,Attributes/Relationships,text,Added,Has Value List,,N
StudyAmendmentImpact,Added,Attributes/Relationships,text,Added,Definition,,An instance of unstructured text that represents the study amendment impact.
StudyAmendmentImpact,Added,Attributes/Relationships,notes,Added,Preferred Term,,Study Amendment Impact Notes
StudyAmendmentImpact,Added,Attributes/Relationships,notes,Added,NCI C-Code,,C215613
StudyAmendmentImpact,Added,Attributes/Relationships,notes,Added,Role,,Complex Datatype Relationship
StudyAmendmentImpact,Added,Attributes/Relationships,notes,Added,Model Representation,,Attribute
StudyAmendmentImpact,Added,Attributes/Relationships,notes,Added,Has Value List,,N
StudyAmendmentImpact,Added,Attributes/Relationships,notes,Added,Definition,,A brief written record relevant to the study amendment impact.
StudyAmendmentImpact,Added,Attributes/Relationships,isSubstantial,Added,Preferred Term,,Study Amendment Impact Substantial Indicator
StudyAmendmentImpact,Added,Attributes/Relationships,isSubstantial,Added,NCI C-Code,,C207538
StudyAmendmentImpact,Added,Attributes/Relationships,isSubstantial,Added,Role,,Attribute
StudyAmendmentImpact,Added,Attributes/Relationships,isSubstantial,Added,Model Representation,,Attribute
StudyAmendmentImpact,Added,Attributes/Relationships,isSubstantial,Added,Has Value List,,N
StudyAmendmentImpact,Added,Attributes/Relationships,isSubstantial,Added,Definition,,An indication as to whether the study amendment's impact on the study is substantial.
StudyAmendmentImpact,Added,Definition,,,,,The effect or consequence of an amendment on some aspect of the study.
MedicalDevice,Added,Preferred Term,,,,,Medical Device
MedicalDevice,Added,NCI C-Code,,,,,C16830
MedicalDevice,Added,Attributes/Relationships,softwareVersion,Added,Preferred Term,,Software Version
MedicalDevice,Added,Attributes/Relationships,softwareVersion,Added,NCI C-Code,,C111093
MedicalDevice,Added,Attributes/Relationships,softwareVersion,Added,Role,,Attribute
MedicalDevice,Added,Attributes/Relationships,softwareVersion,Added,Model Representation,,Attribute
MedicalDevice,Added,Attributes/Relationships,softwareVersion,Added,Has Value List,,N
MedicalDevice,Added,Attributes/Relationships,softwareVersion,Added,Definition,,"A form or variant of software; one of a sequence of copies of a software program, each incorporating new modifications. (NCI)"
MedicalDevice,Added,Attributes/Relationships,notes,Added,Preferred Term,,Medical Device Notes
MedicalDevice,Added,Attributes/Relationships,notes,Added,NCI C-Code,,C215618
MedicalDevice,Added,Attributes/Relationships,notes,Added,Role,,Complex Datatype Relationship
MedicalDevice,Added,Attributes/Relationships,notes,Added,Model Representation,,Attribute
MedicalDevice,Added,Attributes/Relationships,notes,Added,Has Value List,,N
MedicalDevice,Added,Attributes/Relationships,notes,Added,Definition,,A brief written record relevant to the medical device.
MedicalDevice,Added,Attributes/Relationships,embeddedProduct,Added,Role,,Relationship
MedicalDevice,Added,Attributes/Relationships,embeddedProduct,Added,Model Representation,,Relationship
MedicalDevice,Added,Attributes/Relationships,embeddedProduct,Added,Has Value List,,N/A
MedicalDevice,Added,Attributes/Relationships,embeddedProduct,Added,Definition,,A USDM relationship between the MedicalDevice and AdministrableProduct classes which identifies the administrable product that is an integral component of the medical device.
MedicalDevice,Added,Attributes/Relationships,name,Added,Preferred Term,,Medical Device Name
MedicalDevice,Added,Attributes/Relationships,name,Added,NCI C-Code,,C215614
MedicalDevice,Added,Attributes/Relationships,name,Added,Role,,Attribute
MedicalDevice,Added,Attributes/Relationships,name,Added,Model Representation,,Attribute
MedicalDevice,Added,Attributes/Relationships,name,Added,Has Value List,,N
MedicalDevice,Added,Attributes/Relationships,name,Added,Definition,,"The literal identifier (i.e., distinctive designation) of the medical device."
MedicalDevice,Added,Attributes/Relationships,label,Added,Preferred Term,,Medical Device Label
MedicalDevice,Added,Attributes/Relationships,label,Added,NCI C-Code,,C215616
MedicalDevice,Added,Attributes/Relationships,label,Added,Role,,Attribute
MedicalDevice,Added,Attributes/Relationships,label,Added,Model Representation,,Attribute
MedicalDevice,Added,Attributes/Relationships,label,Added,Has Value List,,N
MedicalDevice,Added,Attributes/Relationships,label,Added,Definition,,The short descriptive designation for the medical device.
MedicalDevice,Added,Attributes/Relationships,description,Added,Preferred Term,,Medical Device Description
MedicalDevice,Added,Attributes/Relationships,description,Added,NCI C-Code,,C215615
MedicalDevice,Added,Attributes/Relationships,description,Added,Role,,Attribute
MedicalDevice,Added,Attributes/Relationships,description,Added,Model Representation,,Attribute
MedicalDevice,Added,Attributes/Relationships,description,Added,Has Value List,,N
MedicalDevice,Added,Attributes/Relationships,description,Added,Definition,,A narrative representation of the medical device.
MedicalDevice,Added,Attributes/Relationships,sourcing,Added,Codelist Ref,,C215482
MedicalDevice,Added,Attributes/Relationships,sourcing,Added,Preferred Term,,Medical Device Sourcing
MedicalDevice,Added,Attributes/Relationships,sourcing,Added,NCI C-Code,,C215619
MedicalDevice,Added,Attributes/Relationships,sourcing,Added,Role,,Complex Datatype Relationship
MedicalDevice,Added,Attributes/Relationships,sourcing,Added,Model Representation,,Attribute
MedicalDevice,Added,Attributes/Relationships,sourcing,Added,Has Value List,,Y (C215482)
MedicalDevice,Added,Attributes/Relationships,sourcing,Added,Definition,,An indication as to whether the medical device is obtained from a local or central source.
MedicalDevice,Added,Attributes/Relationships,sourcing,Added,Codelist URL,,https://evsexplore.semantics.cancer.gov/evsexplore/subset/ncit/C215482
MedicalDevice,Added,Attributes/Relationships,hardwareVersion,Added,Preferred Term,,Hardware Version
MedicalDevice,Added,Attributes/Relationships,hardwareVersion,Added,NCI C-Code,,C215617
MedicalDevice,Added,Attributes/Relationships,hardwareVersion,Added,Role,,Attribute
MedicalDevice,Added,Attributes/Relationships,hardwareVersion,Added,Model Representation,,Attribute
MedicalDevice,Added,Attributes/Relationships,hardwareVersion,Added,Has Value List,,N
MedicalDevice,Added,Attributes/Relationships,hardwareVersion,Added,Definition,,"A form or variant of hardware; one of a sequence of copies of the physical components from which a computer is constructed, each incorporating new modifications."
MedicalDevice,Added,Attributes/Relationships,identifiers,Added,Role,,Relationship
MedicalDevice,Added,Attributes/Relationships,identifiers,Added,Model Representation,,Relationship
MedicalDevice,Added,Attributes/Relationships,identifiers,Added,Has Value List,,N/A
MedicalDevice,Added,Attributes/Relationships,identifiers,Added,Definition,,A USDM relationship between the MedicalDevice and MedicalDeviceIdentifier classes which provides the set of identifiers related to the medical device.
MedicalDevice,Added,Definition,,,,,"Any instrument, apparatus, implement, machine, appliance, implant, reagent for in vitro use, software, material or other similar or related article, intended by the manufacturer to be used, alone or in combination for, one or more specific medical purpose(s). [After REGULATION (EU) 2017/745 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 5 April 2017 on medical devices]"
Duration,Added,Preferred Term,,,,,Duration
Duration,Added,NCI C-Code,,,,,C25330
Duration,Added,Attributes/Relationships,text,Added,Preferred Term,,Duration Text
Duration,Added,Attributes/Relationships,text,Added,NCI C-Code,,C217008
Duration,Added,Attributes/Relationships,text,Added,Role,,Attribute
Duration,Added,Attributes/Relationships,text,Added,Model Representation,,Attribute
Duration,Added,Attributes/Relationships,text,Added,Has Value List,,N
Duration,Added,Attributes/Relationships,text,Added,Definition,,An instance of unstructured text that represents the event duration.
Duration,Added,Attributes/Relationships,durationWillVary,Added,Preferred Term,,Duration Will Vary Indicator
Duration,Added,Attributes/Relationships,durationWillVary,Added,NCI C-Code,,C217009
Duration,Added,Attributes/Relationships,durationWillVary,Added,Role,,Attribute
Duration,Added,Attributes/Relationships,durationWillVary,Added,Model Representation,,Attribute
Duration,Added,Attributes/Relationships,durationWillVary,Added,Has Value List,,N
Duration,Added,Attributes/Relationships,durationWillVary,Added,Definition,,An indication as to whether the event duration is planned to vary within and/or across subjects.
Duration,Added,Attributes/Relationships,quantity,Added,Preferred Term,,Duration Quantity Value
Duration,Added,Attributes/Relationships,quantity,Added,NCI C-Code,,C217011
Duration,Added,Attributes/Relationships,quantity,Added,Role,,Complex Datatype Relationship
Duration,Added,Attributes/Relationships,quantity,Added,Model Representation,,Attribute
Duration,Added,Attributes/Relationships,quantity,Added,Has Value List,,N
Duration,Added,Attributes/Relationships,quantity,Added,Definition,,The value representing the amount of time over which the event occurs.
Duration,Added,Attributes/Relationships,reasonDurationWillVary,Added,Preferred Term,,Reason Duration Will Vary
Duration,Added,Attributes/Relationships,reasonDurationWillVary,Added,NCI C-Code,,C217010
Duration,Added,Attributes/Relationships,reasonDurationWillVary,Added,Role,,Attribute
Duration,Added,Attributes/Relationships,reasonDurationWillVary,Added,Model Representation,,Attribute
Duration,Added,Attributes/Relationships,reasonDurationWillVary,Added,Has Value List,,N
Duration,Added,Attributes/Relationships,reasonDurationWillVary,Added,Definition,,The explanation for why the event duration will vary within and/or across subjects.
Duration,Added,Definition,,,,,The length of time during which something continues.
EligibilityCriterionItem,Added,Super Classes,,,,,SyntaxTemplate
EligibilityCriterionItem,Added,Preferred Term,,,,,Eligibility Criterion Item
EligibilityCriterionItem,Added,NCI C-Code,,,,,C215506
EligibilityCriterionItem,Added,Attributes/Relationships,dictionary,Added,Inherited From,,SyntaxTemplate
EligibilityCriterionItem,Added,Attributes/Relationships,dictionary,Added,Role,,Relationship
EligibilityCriterionItem,Added,Attributes/Relationships,dictionary,Added,Model Representation,,Relationship
EligibilityCriterionItem,Added,Attributes/Relationships,dictionary,Added,Has Value List,,N/A
EligibilityCriterionItem,Added,Attributes/Relationships,dictionary,Added,Definition,,A USDM relationship between the EligibilityCriterionItem and SyntaxTemplateDictionary classes which provides the dictionary entry associated with a eligibility criterion item. 
EligibilityCriterionItem,Added,Attributes/Relationships,label,Added,Inherited From,,SyntaxTemplate
EligibilityCriterionItem,Added,Attributes/Relationships,label,Added,Preferred Term,,Eligibility Criterion Item Label
EligibilityCriterionItem,Added,Attributes/Relationships,label,Added,NCI C-Code,,C215650
EligibilityCriterionItem,Added,Attributes/Relationships,label,Added,Role,,Attribute
EligibilityCriterionItem,Added,Attributes/Relationships,label,Added,Model Representation,,Attribute
EligibilityCriterionItem,Added,Attributes/Relationships,label,Added,Has Value List,,N
EligibilityCriterionItem,Added,Attributes/Relationships,label,Added,Definition,,The short descriptive designation for the eligibility criterion item.
EligibilityCriterionItem,Added,Attributes/Relationships,text,Added,Inherited From,,SyntaxTemplate
EligibilityCriterionItem,Added,Attributes/Relationships,text,Added,Preferred Term,,Eligibility Criterion Item Text
EligibilityCriterionItem,Added,Attributes/Relationships,text,Added,NCI C-Code,,C215648
EligibilityCriterionItem,Added,Attributes/Relationships,text,Added,Role,,Attribute
EligibilityCriterionItem,Added,Attributes/Relationships,text,Added,Model Representation,,Attribute
EligibilityCriterionItem,Added,Attributes/Relationships,text,Added,Has Value List,,N
EligibilityCriterionItem,Added,Attributes/Relationships,text,Added,Definition,,An instance of structured text that represents the eligibility criterion item.
EligibilityCriterionItem,Added,Attributes/Relationships,notes,Added,Inherited From,,SyntaxTemplate
EligibilityCriterionItem,Added,Attributes/Relationships,notes,Added,Preferred Term,,Eligibility Criterion Item Notes
EligibilityCriterionItem,Added,Attributes/Relationships,notes,Added,NCI C-Code,,C215651
EligibilityCriterionItem,Added,Attributes/Relationships,notes,Added,Role,,Complex Datatype Relationship
